patentNumber,applicationNum,familyID,applicationDate,granted,grantDate,cpcClass,publicationItems,publicationDate,priorityNumber,language,ipc,title,abstract
EP3180548,EP15747793,53785637,"Tue, 04 Aug 2015",1,"Wed, 13 May 2020",F16H 3/006,"['EP 3180548 A1', 'EP 3180548 B1']","Wed, 21 Jun 2017",DE/102014011921,de,F16H 3/00,BOÎTE DE VITESSES D'UN VÉHICULE AUTOMOBILE,
EP3180503,EP15748178,53800948,"Wed, 05 Aug 2015",1,"Wed, 10 Oct 2018",F01P 11/18,"['EP 3180503 A1', 'EP 3180503 B1']","Wed, 21 Jun 2017",DE/102014012027,de,"['F01P 11/16', 'F01P 7/16']","METHOD FOR OPERATING A FLUID CIRCUIT OF A MOTOR VEHICLE, AND CORRESPONDING FLUID CIRCUIT",
EP3212470,EP15748174,53800945,"Fri, 31 Jul 2015",1,"Wed, 19 Sep 2018",B60R 21/38,"['EP 3212470 A1', 'EP 3212470 B1']","Wed, 06 Sep 2017",DE/102014015998,de,B60R 21/38,"KRAFTFAHRZEUG, UMFASSEND EINE FRONTKLAPPE, DIE ?BER ZWEI SCHARNIERGELENKE SCHWENKBAR AN EINER KAROSSERIE ANGEORDNET IST",
EP3227712,EP15749724,53835387,"Thu, 13 Aug 2015",1,"Wed, 24 Jul 2019","['G01S 13/931', 'G01S 7/4004', 'G01S 7/4052', 'G01S 7/4078']","['EP 3227712 A1', 'EP 3227712 B1']","Wed, 24 Jul 2019",DE/102014017917,de,"['G01S 13/93', 'G01S 7/02', 'G01S 7/40']",METHOD FOR CONFIGURING AT LEAST ONE BUILT-IN RADAR SENSOR IN A MOTOR VEHICLE ON ONE OF SEVERAL MOUNTING POSITIONS WITH RESPECT TO THE MOUNTING POSITION AND MOTOR VEHICLE,
EP2995909,EP15181929,53938243,"Fri, 21 Aug 2015",0,,G01C 21/3682,EP 2995909 A1,"Wed, 16 Mar 2016",US/201414482630,en,G01C 21/36,"APPARATUS, SYSTEM AND METHOD FOR CLUSTERING POINTS OF INTEREST IN A NAVIGATION SYSTEM","A navigation system (401), apparatus and method utilizing a processor (402) and a sensor (403), operatively coupled to the processor (402) to determine a location of the navigation system. A navigation input module (501, 502) is configured to receive destination data specifying a destination and a plurality of point-of-interest (POI) data from a user, where the navigation input module (502) is further configured to receive a POI search area value defining an area of search for the POI data from potential route segments. The processor (402) may utilize the POI search area value to search a plurality of areas along the potential route segments to identify at least some of the plurality of POI data that are in closest proximity to the destination, and wherein the processor may be further configured to cluster the identified POI data for simultaneous presentation on a navigational map.
"
EP2993389,EP15002483,54010798,"Fri, 21 Aug 2015",1,"Wed, 07 Oct 2020","['B60Q 1/50', 'F21S 41/135', 'F21S 41/645', 'F21V 9/14', 'G01C 21/365']","['EP 2993389 A2', 'EP 2993389 A3', 'EP 2993389 B1']","Wed, 05 Oct 2016",DE/102014013205,de,"['B60Q 1/50', 'F21S8-10', 'F21V 9/14', 'G01C 21/36']","METHOD FOR ILLUMINATING A SURROUNDING OF A MOTOR VEHICLE, AND MOTOR VEHICLE HEADLAMP","Die Erfindung betrifft ein Verfahren zum Beleuchten eines Umgebungsbereichs (14) eines Kraftfahrzeugs (10) mit den Schritten: Erzeugen von Lichtstrahlen (16) mit einer Leuchteinrichtung eines Scheinwerfers (12) des Kraftfahrzeugs (10) zum Bereitstellen einer Lichtverteilung (18) in dem Umgebungsbereich (14); Bestimmen eines ersten (20) und zumindest eines zweiten Teilbereichs (22, 22', 22"", 22""') der Lichtverteilung (18); Ansteuern der Leuchteinrichtung mittels einer Steuereinrichtung (24) derart, dass die Lichtstrahlen (16) zum Bereitstellen der Lichtverteilung (18) in dem ersten Teilbereich (20) eine erste Polarisation aufweisen und die Lichtstrahlen (16) zum Bereitstellen der Lichtverteilung (18) in dem zumindest einen zweiten Teilbereich (22, 22', 22"", 22""') eine von der ersten verschiedene, zweite Polarisation aufweisen; und Absorbieren der in dem Umgebungsbereich (14) in Richtung eines Insassen (26) des Kraftfahrzeugs (10) reflektierten Lichtstrahlen (28) mit der zweiten Polarisation mittels eines Polarisationsfilters (30). Weiterhin betrifft die Erfindung einen Scheinwerfer (12) und einen Kraftwagen (10).
"
EP2993390,EP15002484,53969059,"Fri, 21 Aug 2015",1,"Wed, 17 Jun 2020","['F21S 41/16', 'F21S 41/176', 'F21S 41/24', 'F21S 41/36', 'F21S 41/675']","['EP 2993390 A1', 'EP 2993390 B1']","Wed, 17 Jun 2020",DE/102014013202,de,"['F21S 41/176', 'F21S 41/675', 'F21V 9/40']",HEADLIGHT FOR A MOTOR VEHICLE AND A MOTOR VEHICLE,
EP3155451,EP15750640,53872004,"Tue, 18 Aug 2015",1,"Wed, 28 Jun 2017",G01S 19/22,"['EP 3155451 A1', 'EP 3155451 B1']","Wed, 19 Apr 2017",DE/102014013209,de,G01S 19/22,METHOD AND DEVICE FOR THE EVALUATION OF A SATELLITE SIGNAL IN A GLOBAL NAVIGATION SATELLITE SYSTEM WITH REGARD TO A MULTIPATH ERROR,
EP3204180,EP15750668,53872022,"Thu, 30 Jul 2015",1,"Wed, 29 Jan 2020","['B23D 77/00', 'B23D 77/14']","['EP 3204180 A1', 'EP 3204180 B1']","Wed, 16 Aug 2017",DE/102014014932,de,"['B23D 77/00', 'B23D 77/14']","BOHRWERKZEUG, INSBESONDERE REIBAHLE",
EP3183162,EP15759408,54062713,"Tue, 18 Aug 2015",1,"Wed, 06 Nov 2019","['B62D 35/007', 'F16H 1/225']","['EP 3183162 A1', 'EP 3183162 B1']","Wed, 28 Jun 2017",DE/102014012292,de,"['B62D 35/00', 'F16H 1/16']",ACTUATING DRIVE FOR AN AIR DEFLECTOR DEVICE,
EP3195044,EP15759641,54064266,"Thu, 03 Sep 2015",0,,"['G02B 27/0101', 'G02B 27/0149']",EP 3195044 A1,"Wed, 26 Jul 2017",DE/102014013967,de,G02B 27/01,"AFFICHAGE TÊTE HAUTE POUR VÉHICULE AUTOMOBILE, VÉHICULE AUTOMOBILE POURVU D'UN AFFICHAGE TÊTE HAUTE ET PROCÉDÉ DE DISPOSITION D'UN AFFICHAGE TÊTE HAUTE DANS UN VÉHICULE AUTOMOBILE",
EP3189253,EP15760091,54065313,"Tue, 01 Sep 2015",1,"Wed, 11 Nov 2020","['F16H 61/0403', 'F16H 61/21', 'F16H 63/42']","['EP 3189253 A1', 'EP 3189253 B1']","Wed, 12 Jul 2017",DE/102014013183,de,"['F16H 61/04', 'F16H 61/21', 'F16H 63/42']",METHOD AND DEVICE FOR GEAR SHIFT ASSISTANCE,
EP3188931,EP15760092,54065314,"Tue, 01 Sep 2015",1,"Wed, 29 Aug 2018","['B60K 35/00', 'B60K 37/06', 'B60Q 1/0076']","['EP 3188931 A1', 'EP 3188931 B1']","Wed, 12 Jul 2017",DE/102014013185,de,"['B60K 37/06', 'B60Q 1/00']",BELEUCHTUNGSSYSTEM FÜR EINEN KRAFTWAGEN UND KRAFTWAGEN MIT EINEM BELEUCHTUNGSSYSTEM,
EP3207420,EP15763196,54106292,"Thu, 03 Sep 2015",1,"Wed, 18 Jul 2018","['B60K 35/00', 'B60K 37/04', 'G02B 27/0149']","['EP 3207420 A1', 'EP 3207420 B1']","Wed, 18 Jul 2018",DE/102014015378,de,"['B60K 35/00', 'B60K 37/04', 'B60R 11/02', 'G02B 27/01']",BOÎTIER POUR UN AFFICHAGE TÊTE HAUTE DESTINÉ À UN VÉHICULE ET PROCÉDÉ SERVANT À FOURNIR UN BOÎTIER POUR UN AFFICHAGE TÊTE HAUTE,
EP3205078,EP15763492,54140390,"Sat, 05 Sep 2015",1,"Wed, 15 Aug 2018","['H04M 1/6075', 'H04M 1/72463', 'H04W 4/023']","['EP 3205078 A1', 'EP 3205078 B1']","Wed, 16 Aug 2017",DE/102014014601,de,"['H04M 1/60', 'H04M 1/725', 'H04W 4/02', 'H04W 4/40']","METHOD FOR OPERATING A MOTOR VEHICLE, AND MOTOR VEHICLE",
EP3204658,EP15763836,54145725,"Wed, 09 Sep 2015",1,"Wed, 18 Mar 2020",F16D 11/14,"['EP 3204658 A1', 'EP 3204658 B1']","Wed, 16 Aug 2017",DE/102014015093,de,"['F16D 11/00', 'F16D 11/14']",DOG CLUTCH COMPRISING A SENSOR FOR RECOGNIZING AN ENGAGED STATE,
EP3001137,EP15002762,54288623,"Thu, 24 Sep 2015",1,"Wed, 24 Mar 2021",G01D 18/00,"['EP 3001137 A1', 'EP 3001137 B1']","Wed, 30 Mar 2016",DE/102014014295,de,"['G01B 11/00', 'G06T 5/00', 'G06T 7/00']",METHOD FOR MONITORING A CALIBRATION OF MULTIPLE ENVIRONMENT SENSORS OF A MOTOR VEHICLE AND MOTOR VEHICLE,"Verfahren zur Überwachung einer Kalibrierung mehrerer, Sensordaten aus der Umgebung eines Kraftfahrzeugs (1) aufnehmender, an einer durch extrinsische Kalibrierungsparameter beschriebenen Verbauposition im Kraftfahrzeug (1) verbauter Umgebungssensoren bezüglich der extrinsischen Kalibrierungsparameter, wobei zur Ermittlung einer Dekalibrierung wenigstens eines Umgebungssensors dasselbe Merkmal (10) der Umgebung in derselben Eigenschaft beschreibende Sensordaten unterschiedlicher Umgebungssensoren durch wenigstens ein die Sensordaten vergleichendes Dekalibrierungskriterium ausgewertet werden.
"
EP3017973,EP15002761,54249274,"Thu, 24 Sep 2015",1,"Wed, 29 Mar 2017","['B60G 7/001', 'B60T 5/00', 'F16D 65/128', 'F16D 65/847']","['EP 3017973 A1', 'EP 3017973 B1']","Wed, 11 May 2016",DE/102014014834,de,"['B60G 7/00', 'B60T 5/00', 'B62D 35/02']",BRAS DE SUSPENSION DOTE D'UN DISPOSITIF DE GUIDAGE D'AIR,"Fahrwerkslenker (1) mit einer Luftleiteinrichtung (2), wobei der Fahrwerkslenker (1) mindestens einen endständigen Lagerabschnitt (3), der Mittel zum Lagern (4) des Fahrwerkslenkers (1) an einem weiteren Fahrzeugbauteil enthält, und einen Mittelabschnitt (5) aufweist und wobei die Luftleiteinrichtung (2) ein flächiges Luftleitelement (6) und einen Verbindungsabschnitt (7), der mindestens ein elastisch biegsames Verbindungselement (8) umfasst, das an einem von einem Seitensteg (15) des Fahrwerkslenkers (1) abragenden Kontaktabschnitt (9) der Mittel zum Lagern (4) lösbar festgelegt ist, aufweist.
"
EP3198300,EP15770797,54199161,"Thu, 24 Sep 2015",1,"Wed, 26 Aug 2020","['G01S 13/86', 'G01S 13/931']","['EP 3198300 A1', 'EP 3198300 B1']","Wed, 02 Aug 2017",DE/102014014307,de,"['G01S 13/86', 'G01S 13/87', 'G01S 13/93']",METHOD FOR OPERATING A MULTIPLICITY OF RADAR SENSORS IN A MOTOR VEHICLE AND MOTOR VEHICLE,
EP3209992,EP15770802,54199164,"Fri, 25 Sep 2015",1,"Wed, 03 Jul 2019","['B60Q 11/005', 'F21S 41/16', 'F21S 45/70', 'G01M 11/06', 'G01M 11/065']","['EP 3209992 A1', 'EP 3209992 B1']","Wed, 03 Jul 2019",DE/102014015796,de,"['B60C 11/00', 'B60Q 11/00', 'F21S 41/16', 'G01J 1/16', 'G01J 1/42', 'G01M 11/06', 'G01N 21/93']","METHOD FOR CHECKING THE FUNCTIONALITY OF THE HEADLAMP OF A MOTOR VEHICLE, AND MOTOR VEHICLE",
EP3204261,EP15770803,54199165,"Fri, 25 Sep 2015",1,"Wed, 20 Nov 2019","['B60Q 11/005', 'F21S 41/16', 'F21S 41/176', 'F21S 45/70']","['EP 3204261 A1', 'EP 3204261 B1']","Wed, 20 Nov 2019",DE/102014014852,de,"['B60Q 11/00', 'F21S 41/16', 'F21S 45/70']",MONITORING AN ILLUMINATION DEVICE COMPRISING A CONVERSION DEVICE AND LASER-BASED ILLUMINATING MEANS,
EP3209516,EP15770804,54199166,"Fri, 25 Sep 2015",1,"Wed, 12 Jun 2019","['B60L 53/36', 'B60L 53/37']","['EP 3209516 A1', 'EP 3209516 B1']","Wed, 30 Aug 2017",DE/102014015668,de,http://data.epo.org/linked-data/def/ipc/B60L11-18,"METHOD FOR POSITIONING A MOTOR VEHICLE, AND ASSOCIATED MOTOR VEHICLE",
EP3204260,EP15771023,54199618,"Fri, 25 Sep 2015",1,"Wed, 15 Apr 2020","['B60Q 1/2603', 'B60Q 1/44', 'B60Q 11/005']","['EP 3204260 A1', 'EP 3204260 B1']","Wed, 15 Apr 2020",DE/102014014938,de,"['B60Q 1/26', 'B60Q 1/44', 'B60Q 11/00']",METHOD FOR OPERATING A MOTOR VEHICLE WITH AN OPTICAL SENSOR AND MOTOR VEHICLE,
EP3204665,EP15774510,54249430,"Thu, 01 Oct 2015",1,"Wed, 24 Feb 2021","['B60K 6/48', 'B60W 10/06', 'B60W 10/08', 'B60W 10/11', 'B60W 20/15', 'B60W 30/18072', 'B60W 30/18127', 'F16H 61/0213']","['EP 3204665 A1', 'EP 3204665 B1']","Wed, 16 Aug 2017",DE/102014014848,de,"['F16H 3/00', 'F16H 61/02']",ANTRIEBSVORRICHTUNG FÜR EIN KRAFTFAHRZEUG,
EP3215391,EP15775087,54252238,"Tue, 06 Oct 2015",1,"Wed, 20 Jan 2021","['B60K 37/06', 'G06F 1/1643', 'G06F 1/1652', 'G06F 1/166']","['EP 3215391 A1', 'EP 3215391 B1']","Wed, 13 Sep 2017",DE/102014016323,de,"['B60K 37/06', 'G06F 1/16']","ANZEIGEVORRICHTUNG FÜR EINEN KRAFTWAGEN, VERFAHREN ZUM BETREIBEN EINER ANZEIGEVORRICHTUNG UND KRAFTWAGEN MIT EINER ANZEIGEVORRICHTUNG",
EP3209968,EP15778339,54291308,"Mon, 12 Oct 2015",0,,"['G01C 21/3415', 'G01C 21/3484', 'G01C 21/3492', 'G01C 21/3632', 'G01C 21/3688']",EP 3209968 A2,"Wed, 30 Aug 2017",US/201414520515,en,"['G01C 21/34', 'G01C 21/36']",DETOUR GUIDANCE,
EP3204724,EP15778868,54293205,"Tue, 06 Oct 2015",1,"Wed, 11 Mar 2020","['B60K 6/48', 'B60L 15/2045', 'B60L 50/15', 'B60W 20/12', 'B60W 50/0097', 'G01C 21/3469']","['EP 3204724 A1', 'EP 3204724 B1']","Wed, 16 Aug 2017",DE/102014014851,de,"['B60K 6/20', 'B60L 15/20', 'B60L 50/15', 'B60W 20/00', 'G01C 21/34']","METHOD FOR OPERATING A NAVIGATION SYSTEM OF A HYBRID MOTOR VEHICLE, AND HYBRID MOTOR VEHICLE",
EP3209904,EP15781027,54325506,"Wed, 14 Oct 2015",1,"Wed, 12 Feb 2020","['B60K 1/00', 'B60K 6/365', 'B60K 6/48', 'B60K 6/52', 'B60W 10/08', 'F16H 48/36']","['EP 3209904 A1', 'EP 3209904 B1']","Wed, 12 Feb 2020",DE/102014015793,de,"['B60K 1/00', 'B60K 6/365', 'B60K 6/48', 'B60K 6/52', 'F16H 48/36']","ANTRIEBSVORRICHTUNG FÜR EIN KRAFTFAHRZEUG, KRAFTFAHRZEUG UND VERFAHREN ZUM BETRIEB EINES KRAFTFAHRZEUGS",
EP3204279,EP15781575,54330710,"Wed, 07 Oct 2015",1,"Wed, 16 Dec 2020","['B62D 15/0285', 'G06V 20/58']","['EP 3204279 A2', 'EP 3204279 B1']","Wed, 16 Aug 2017",DE/102014015075,de,"['B60W 30/06', 'B62D 15/02', 'G05D 1/00', 'G05D 1/02', 'G06K9-00']","METHOD FOR OPERATING AN AUTOMATICALLY DRIVEN, DRIVERLESS MOTOR VEHICLE AND MONITORING SYSTEM",
EP3212473,EP15781578,54330712,"Tue, 13 Oct 2015",1,"Wed, 06 Jun 2018","['H04B 5/0031', 'H04L 69/28', 'H04M 1/663', 'H04M 1/72421', 'H04W 4/16', 'H04W 4/90']","['EP 3212473 A1', 'EP 3212473 B1']","Wed, 06 Jun 2018",DE/102014016223,de,"['B60R 25/102', 'H04M 1/663', 'H04M 1/725', 'H04M 11/04', 'H04M 3/38']","METHOD FOR OPERATING A COMMUNICATION SYSTEM, AND COMMUNICATION SYSTEM",
EP3094522,EP15781582,54330716,"Sat, 17 Oct 2015",1,"Wed, 21 Jun 2017","['B60R 11/02', 'B60R 11/0241']","['EP 3094522 A1', 'EP 3094522 B1']","Wed, 21 Jun 2017",DE/102014016434,de,B60R 11/02,"METHOD FOR OPERATING A CRADLE, CRADLE AND VEHICLE WITH A CRADLE",
EP3016254,EP15003047,54359689,"Sat, 24 Oct 2015",0,,"['H02K 11/33', 'H02K 5/203', 'H02K 9/223', 'H02K 9/227', 'H05K 7/20927']","['EP 3016254 A2', 'EP 3016254 A3']","Wed, 11 May 2016",DE/102014016171,de,"['H02K 11/33', 'H02K 5/20', 'H02K 9/22', 'H05K 1/00', 'H05K 7/20']",COOLING OF AN ELECTRIC DRIVE,"Die Erfindung betrifft eine elektrische Antriebseinrichtung (1), mit einem Elektromotor (2) und einer Leistungselektronikvorrichtung (10) zur Ansteuerung des Elektromotors (2), wobei ein Motorgehäuse (3) des Elektromotors (2) wenigstens einen Kühlmittelkanal (6) zur Kühlung des Elektromotors (2) aufweist. Dabei ist vorgesehen, dass ein Elektronikgehäuse (11) der Leistungselektronik (10) eine Anschlussfläche (12) aufweist, die mit einer Gegenanschlussfläche (13) des Motorgehäuses (3) verbunden ist, wobei die Leistungselektronikvorrichtung (10) kühlmittelkanalfrei ausgebildet und wärmeübertragend mit dem Motorgehäuse (3) verbunden ist.
"
EP3206925,EP15784279,54345458,"Thu, 15 Oct 2015",1,"Wed, 11 Mar 2020","['B60K 6/48', 'B60W 20/50']","['EP 3206925 A1', 'EP 3206925 B1']","Wed, 11 Mar 2020",DE/102014015469,de,B60W 20/50,METHOD FOR OPERATING A HYBRID DRIVE DEVICE AND CORRESPONDING HYBRID DRIVE DEVICE,
EP3209896,EP15784394,54345510,"Fri, 23 Oct 2015",1,"Wed, 04 Sep 2019",F16D 1/104,"['EP 3209896 A1', 'EP 3209896 B1']","Wed, 04 Sep 2019",DE/102014015717,de,"['F16D 1/08', 'F16D 1/10']",DISPOSITIF DE TRANSMISSION DE COUPLE,
EP3224831,EP15784573,54347476,"Thu, 22 Oct 2015",1,"Wed, 22 Aug 2018",G10L 15/22,"['EP 3224831 A1', 'EP 3224831 B1']","Wed, 22 Aug 2018",DE/102014017384,de,G10L 15/22,DISPOSITIF DE COMMANDE DE VEHICULE AUTOMOBILE À STRATÉGIE DE CORRECTION DE RECONNAISSANCE VOCALE,
EP3215397,EP15784574,54347477,"Thu, 22 Oct 2015",1,"Wed, 17 Apr 2019","['B60Q 1/381', 'H05B 45/10', 'H05B 47/155']","['EP 3215397 A1', 'EP 3215397 B1']","Wed, 17 Apr 2019",DE/102014016335,de,"['B60Q 1/38', 'H05B37-02', 'H05B 44/00']",BELEUCHTUNGSVORRICHTUNG FÜR EINE AUSSENLICHTFUNKTION EINES KRAFTFAHRZEUGS SOWIE VERFAHREN ZUM BETREIBEN EINER ENTSPRECHENDEN BELEUCHTUNGSVORRICHTUNG,
EP3018031,EP15003099,54364955,"Thu, 29 Oct 2015",1,"Wed, 17 Mar 2021","['B60T 7/22', 'B60W 10/04', 'B60W 10/10', 'B60W 10/184', 'B60W 30/09', 'B60W 30/143', 'B60W 30/16', 'B60W 30/18154', 'B60W 40/06', 'B60W 50/14', 'G01S 13/865', 'G01S 17/931', 'G01S 7/4817']","['EP 3018031 A2', 'EP 3018031 A3', 'EP 3018031 B1']","Wed, 13 Jul 2016",DE/102014016578,de,"['B60T 7/22', 'B60W 10/04', 'B60W 10/10', 'B60W 10/184', 'B60W 30/09', 'B60W 30/14', 'B60W 30/18', 'B60W 40/06', 'B60W 50/14', 'G01S 13/86', 'G01S 7/481']","DEVICE FOR ADAPTIVE SPEED AND DISTANCE CONTROL FOR A MOTOR VEHICLE, ASSOCIATED MOTOR VEHICLE AND RELATED METHOD","Einrichtung (13) zur adaptiven Geschwindigkeits- und Abstandsregelung für ein Kraftfahrzeug (5), mit einem Sensor zum Erfassen des Abstands zu einem vorausfahrenden Fahrzeug, wobei die Einrichtung (13) dazu ausgebildet ist, eine eingestellte Geschwindigkeit durch einen Eingriff in eine Motorsteuerung und/oder eine Getriebesteuerung und/oder eine Bremssystemsteuerung unter Berücksichtigung des erfassten Abstands zu regeln, wobei die Einrichtung (13) dazu ausgebildet ist, mittels des Sensors zum Erfassen des Abstands eine sich auf der Trajektorie vor dem Kraftfahrzeug (5) befindende Mittelinsel (3) eines Kreisverkehrs (1) zu detektieren und eine Aktion zum Vermeiden einer gefährlichen Situation auszulösen.
"
EP3023216,EP15192811,54427604,"Tue, 03 Nov 2015",0,,"['B29C 44/326', 'B32B 15/046', 'B32B 15/08', 'B32B 15/14', 'B32B 15/20', 'B32B 27/065', 'B32B 27/08', 'B32B 27/12', 'B32B 27/308', 'B32B 27/34', 'B32B 5/02', 'B32B 5/20', 'B32B 5/22', 'B32B 5/245', 'B32B 5/26', 'B32B 7/12']",EP 3023216 A1,"Wed, 25 May 2016",DE/102014016329,de,"['B29C 44/32', 'B29C 44/34']",COMPOSANT COMPOSITE ET SON PROCEDE DE FABRICATION,"Die Erfindung betrifft ein Verbundbauteil bestehend aus einer geschäumten, polymeren Mittelschicht und zwei außenliegenden Deckschichten, wobei Polymer Polyamid in der Mittelschicht verwendet wird. Ferner umfasst die Erfindung ein Verfahren zur Herstellung eines Verbundbauteils aufweisend eine geschäumte, polymere Mittelschicht und Außenlagen aus Deckschichten, wobei die Polymerschmelze in einem Extruder erzeugt wird, mit den Deckschichten zusammengeführt wird und in einer Doppelbandpresse abgekühlt und dickenkalibriert wird.
"
EP3015302,EP15003126,54396698,"Sat, 31 Oct 2015",1,"Wed, 27 Mar 2019",B60K 15/03,"['EP 3015302 A1', 'EP 3015302 B1']","Wed, 04 May 2016",DE/102014016190,de,B60K 15/03,METHOD FOR OPERATING A FUEL TANK DEVICE FOR A MOTOR VEHICLE AND CORRESPONDING FUEL TANK DEVICE,"Die Erfindung betrifft ein Verfahren zum Betreiben einer Kraftstofftankeinrichtung (1) für ein Kraftfahrzeug, wobei die Kraftstofftankeinrichtung (1) einen Kraftstofftank (2) mit einem Stautopf (4) aufweist, an welchen eine Saugseite einer Kraftstoffpumpe (3) angeschlossen ist. Dabei ist vorgesehen, dass bei einem Füllstand des Kraftstofftanks (2) unterhalb eines bestimmten Minimalfüllstands mittels wenigstens eines Sensors eine geodätische Ausrichtung des. Kraftstofftanks (2) ermittelt sowie aus einem Kennfeld anhand der geodätischen Ausrichtung ein Betankungskennwert ausgelesen und mittels einer Signaleinrichtung angezeigt wird. Die Erfindung betrifft weiterhin eine Kraftstofftankeinrichtung (1) für ein Kraftfahrzeug.
"
